txn_id,account_id,customer_id,txn_type,amount,currency,txn_date,value_date,branch_code,channel,narration,balance_after,status,ref_number
TXN20260414001,ACCT000001,CUST000001,CREDIT,50000.00,INR,2026-04-14 09:15:30,2026-04-14,BR001,NEFT,SALARY APR 2026 - INFOSYS LTD,125000.00,SUCCESS,NEFT26041400001
TXN20260414002,ACCT000002,CUST000002,DEBIT,15000.00,INR,2026-04-14 09:16:45,2026-04-14,BR002,UPI,RENT PAYMENT APR,85000.00,SUCCESS,UPI26041400001
TXN20260414003,ACCT000003,CUST000003,DEBIT,250000.00,INR,2026-04-14 09:17:00,2026-04-14,BR001,RTGS,PROPERTY ADVANCE PAYMENT,1250000.00,SUCCESS,RTGS26041400001
TXN20260414004,ACCT000001,CUST000001,DEBIT,5000.00,INR,2026-04-14 09:18:10,2026-04-14,BR003,ATM,ATM CASH WITHDRAWAL,120000.00,SUCCESS,ATM26041400001
TXN20260414005,ACCT000004,CUST000004,CREDIT,1000000.00,INR,2026-04-14 09:19:00,2026-04-14,BR001,RTGS,HIGH VALUE DEPOSIT - CASH,1050000.00,FLAGGED,RTGS26041400002
TXN20260414006,ACCT000005,CUST000005,DEBIT,8500.00,INR,2026-04-14 09:25:00,2026-04-14,BR002,UPI,ELECTRICITY BILL - BESCOM,42500.00,SUCCESS,UPI26041400002
TXN20260414007,ACCT000006,CUST000006,CREDIT,75000.00,INR,2026-04-14 09:30:00,2026-04-14,BR001,NEFT,FREELANCE PAYMENT - TCS,175000.00,SUCCESS,NEFT26041400002
TXN20260414008,ACCT000007,CUST000007,DEBIT,3500.00,INR,2026-04-14 09:32:00,2026-04-14,BR003,POS,BIGBASKET GROCERY,96500.00,SUCCESS,POS26041400001
TXN20260414009,ACCT000008,CUST000008,CREDIT,200000.00,INR,2026-04-14 09:35:00,2026-04-14,BR001,NEFT,RENT RECEIVED - COMMERCIAL PROPERTY,850000.00,SUCCESS,NEFT26041400003
TXN20260414010,ACCT000009,CUST000009,DEBIT,45000.00,INR,2026-04-14 09:40:00,2026-04-14,BR002,NEFT,EMI PAYMENT - HOME LOAN LN20260001,355000.00,SUCCESS,NEFT26041400004
TXN20260414011,ACCT000010,CUST000010,DEBIT,150000.00,INR,2026-04-14 09:45:00,2026-04-14,BR001,RTGS,BUSINESS VENDOR PAYMENT,2850000.00,SUCCESS,RTGS26041400003
TXN20260414012,ACCT000004,CUST000004,DEBIT,500000.00,INR,2026-04-14 09:50:00,2026-04-14,BR001,RTGS,TRANSFER TO THIRD PARTY - SUSPICIOUS,550000.00,FLAGGED,RTGS26041400004
TXN20260414013,ACCT000011,CUST000011,CREDIT,35000.00,INR,2026-04-14 10:00:00,2026-04-14,BR003,NEFT,PENSION CREDIT APR 2026,135000.00,SUCCESS,NEFT26041400005
TXN20260414014,ACCT000012,CUST000012,DEBIT,12000.00,INR,2026-04-14 10:05:00,2026-04-14,BR002,UPI,SCHOOL FEE - DPS BANGALORE,88000.00,SUCCESS,UPI26041400003
TXN20260414015,ACCT000013,CUST000013,CREDIT,500000.00,INR,2026-04-14 10:10:00,2026-04-14,BR001,RTGS,FD MATURITY CREDIT,1500000.00,SUCCESS,RTGS26041400005
TXN20260414016,ACCT000014,CUST000014,DEBIT,2000.00,INR,2026-04-14 10:15:00,2026-04-14,BR003,UPI,SWIGGY FOOD ORDER,48000.00,SUCCESS,UPI26041400004
TXN20260414017,ACCT000015,CUST000015,CREDIT,125000.00,INR,2026-04-14 10:20:00,2026-04-14,BR002,NEFT,MUTUAL FUND REDEMPTION - HDFC AMC,425000.00,SUCCESS,NEFT26041400006
TXN20260414018,ACCT000004,CUST000004,CREDIT,750000.00,INR,2026-04-14 10:25:00,2026-04-14,BR001,CASH,CASH DEPOSIT - MULTIPLE DENOMINATIONS,1300000.00,FLAGGED,CASH26041400001
TXN20260414019,ACCT000016,CUST000016,DEBIT,25000.00,INR,2026-04-14 10:30:00,2026-04-14,BR001,NEFT,INSURANCE PREMIUM - LIC,275000.00,SUCCESS,NEFT26041400007
TXN20260414020,ACCT000017,CUST000017,CREDIT,60000.00,INR,2026-04-14 10:35:00,2026-04-14,BR002,NEFT,SALARY APR 2026 - WIPRO LTD,160000.00,SUCCESS,NEFT26041400008
TXN20260414021,ACCT000001,CUST000001,DEBIT,2500.00,INR,2026-04-14 10:40:00,2026-04-14,BR001,UPI,AMAZON PURCHASE,117500.00,SUCCESS,UPI26041400005
TXN20260414022,ACCT000018,CUST000018,DEBIT,75000.00,INR,2026-04-14 10:45:00,2026-04-14,BR003,NEFT,CAR SERVICE - MARUTI AUTHORIZED,225000.00,SUCCESS,NEFT26041400009
TXN20260414023,ACCT000019,CUST000019,CREDIT,180000.00,INR,2026-04-14 10:50:00,2026-04-14,BR001,NEFT,CONSULTANCY FEE RECEIVED,680000.00,SUCCESS,NEFT26041400010
TXN20260414024,ACCT000020,CUST000020,DEBIT,9500.00,INR,2026-04-14 10:55:00,2026-04-14,BR002,POS,RELIANCE DIGITAL - ELECTRONICS,90500.00,SUCCESS,POS26041400002
TXN20260414025,ACCT000004,CUST000004,DEBIT,300000.00,INR,2026-04-14 11:00:00,2026-04-14,BR001,NEFT,TRANSFER TO SHELL COMPANY ACCOUNT,1000000.00,FLAGGED,NEFT26041400011
TXN20260414026,ACCT000003,CUST000003,CREDIT,120000.00,INR,2026-04-14 11:05:00,2026-04-14,BR001,NEFT,BUSINESS INCOME - GST INVOICE,1370000.00,SUCCESS,NEFT26041400012
TXN20260414027,ACCT000005,CUST000005,DEBIT,1500.00,INR,2026-04-14 11:10:00,2026-04-14,BR002,UPI,UBER RIDE,41000.00,SUCCESS,UPI26041400006
TXN20260414028,ACCT000007,CUST000007,DEBIT,20000.00,INR,2026-04-14 11:15:00,2026-04-14,BR003,ATM,ATM WITHDRAWAL - OTHER BANK,76500.00,SUCCESS,ATM26041400002
TXN20260414029,ACCT000010,CUST000010,CREDIT,500000.00,INR,2026-04-14 11:20:00,2026-04-14,BR001,RTGS,BUSINESS INCOME - EXPORT PROCEEDS,3350000.00,SUCCESS,RTGS26041400006
TXN20260414030,ACCT000008,CUST000008,DEBIT,35000.00,INR,2026-04-14 11:25:00,2026-04-14,BR001,NEFT,SOCIETY MAINTENANCE - ANNUAL,815000.00,SUCCESS,NEFT26041400013
TXN20260414031,ACCT000002,CUST000002,CREDIT,45000.00,INR,2026-04-14 11:30:00,2026-04-14,BR002,NEFT,SALARY APR 2026 - HCL TECH,130000.00,SUCCESS,NEFT26041400014
TXN20260414032,ACCT000011,CUST000011,DEBIT,8000.00,INR,2026-04-14 11:35:00,2026-04-14,BR003,UPI,MEDICAL BILL - APOLLO HOSPITAL,127000.00,SUCCESS,UPI26041400007
TXN20260414033,ACCT000013,CUST000013,DEBIT,100000.00,INR,2026-04-14 11:40:00,2026-04-14,BR001,NEFT,NEW FD BOOKING - 1 YEAR,1400000.00,SUCCESS,NEFT26041400015
TXN20260414034,ACCT000006,CUST000006,DEBIT,3000.00,INR,2026-04-14 11:45:00,2026-04-14,BR001,UPI,ZOMATO ORDER,172000.00,SUCCESS,UPI26041400008
TXN20260414035,ACCT000009,CUST000009,CREDIT,80000.00,INR,2026-04-14 11:50:00,2026-04-14,BR002,NEFT,RENTAL INCOME - TENANT,435000.00,SUCCESS,NEFT26041400016
TXN20260414036,ACCT000015,CUST000015,DEBIT,50000.00,INR,2026-04-14 11:55:00,2026-04-14,BR002,NEFT,SIP INVESTMENT - AXIS MF,375000.00,SUCCESS,NEFT26041400017
TXN20260414037,ACCT000004,CUST000004,DEBIT,200000.00,INR,2026-04-14 12:00:00,2026-04-14,BR001,RTGS,HAWALA TRANSFER - FLAGGED,800000.00,FLAGGED,RTGS26041400007
TXN20260414038,ACCT000016,CUST000016,CREDIT,90000.00,INR,2026-04-14 12:05:00,2026-04-14,BR001,NEFT,SALARY APR 2026 - ACCENTURE,365000.00,SUCCESS,NEFT26041400018
TXN20260414039,ACCT000020,CUST000020,CREDIT,55000.00,INR,2026-04-14 12:10:00,2026-04-14,BR002,NEFT,SALARY APR 2026 - COGNIZANT,145500.00,SUCCESS,NEFT26041400019
TXN20260414040,ACCT000012,CUST000012,DEBIT,5000.00,INR,2026-04-14 12:15:00,2026-04-14,BR002,UPI,GAS BOOKING - HP GAS,83000.00,SUCCESS,UPI26041400009
TXN20260414041,ACCT000018,CUST000018,CREDIT,150000.00,INR,2026-04-14 12:20:00,2026-04-14,BR003,NEFT,SALARY APR 2026 - TCS,375000.00,SUCCESS,NEFT26041400020
TXN20260414042,ACCT000003,CUST000003,DEBIT,80000.00,INR,2026-04-14 12:25:00,2026-04-14,BR001,NEFT,GST PAYMENT - QUARTERLY,1290000.00,SUCCESS,NEFT26041400021
TXN20260414043,ACCT000014,CUST000014,CREDIT,40000.00,INR,2026-04-14 12:30:00,2026-04-14,BR003,NEFT,SALARY APR 2026 - INFOSYS BPM,88000.00,SUCCESS,NEFT26041400022
TXN20260414044,ACCT000019,CUST000019,DEBIT,15000.00,INR,2026-04-14 12:35:00,2026-04-14,BR001,NEFT,EMI - PERSONAL LOAN LN20260002,665000.00,SUCCESS,NEFT26041400023
TXN20260414045,ACCT000005,CUST000005,CREDIT,70000.00,INR,2026-04-14 12:40:00,2026-04-14,BR002,NEFT,SALARY APR 2026 - MINDTREE,111000.00,SUCCESS,NEFT26041400024
TXN20260414046,ACCT000010,CUST000010,DEBIT,200000.00,INR,2026-04-14 12:45:00,2026-04-14,BR001,RTGS,SUPPLIER PAYMENT - RAW MATERIALS,3150000.00,SUCCESS,RTGS26041400008
TXN20260414047,ACCT000001,CUST000001,DEBIT,1800.00,INR,2026-04-14 12:50:00,2026-04-14,BR001,UPI,FLIPKART PURCHASE,115700.00,SUCCESS,UPI26041400010
TXN20260414048,ACCT000017,CUST000017,DEBIT,30000.00,INR,2026-04-14 12:55:00,2026-04-14,BR002,NEFT,CREDIT CARD BILL PAYMENT,130000.00,SUCCESS,NEFT26041400025
TXN20260414049,ACCT000008,CUST000008,CREDIT,95000.00,INR,2026-04-14 13:00:00,2026-04-14,BR001,NEFT,RENTAL INCOME - SECOND PROPERTY,910000.00,SUCCESS,NEFT26041400026
TXN20260414050,ACCT000004,CUST000004,CREDIT,450000.00,INR,2026-04-14 13:05:00,2026-04-14,BR001,CASH,CASH DEPOSIT - STRUCTURED TO AVOID REPORTING,1250000.00,FLAGGED,CASH26041400002
